action,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
DOWN,10,10,0,9,False,False,DOWN,1
LEFT,9,10,0,9,False,False,LEFT,2
START,9,10,0,9,False,False,START,3
B,9,10,0,9,False,False,B,4
SELECT,9,10,0,9,False,False,SELECT,5
B,9,10,0,9,False,False,B,6
L,9,10,0,9,False,False,L,7
A,9,10,0,9,False,False,A,8
LEFT,9,10,0,9,False,False,LEFT,9
L,9,10,0,9,False,False,L,10
RIGHT,9,10,0,9,False,False,RIGHT,11
SELECT,9,10,0,9,False,False,SELECT,12
LEFT,9,10,0,9,False,False,LEFT,13
DOWN,9,10,0,9,False,False,DOWN,14
L,9,10,0,9,False,False,L,15
DOWN,9,10,0,9,False,False,DOWN,16
START,9,10,0,9,False,False,START,17
A,9,10,0,9,False,False,A,18
START,9,10,0,9,False,False,START,19
SELECT,9,10,0,9,False,False,SELECT,20
SELECT,9,10,0,9,False,False,SELECT,21
LEFT,9,10,0,9,False,False,LEFT,22
L,9,10,0,9,False,False,L,23
UP,9,10,0,9,False,False,UP,24
LEFT,9,10,0,9,False,False,LEFT,25
L,9,10,0,9,False,False,L,26
R,9,10,0,9,False,False,R,27
DOWN,9,10,0,9,False,False,DOWN,28
DOWN,9,10,0,9,False,False,DOWN,29
RIGHT,9,10,0,9,False,False,RIGHT,30
A,9,10,0,9,False,False,A,31
UP,9,9,0,9,False,False,UP,32
LEFT,8,9,0,9,False,False,LEFT,33
LEFT,7,9,0,9,False,False,LEFT,34
START,7,9,0,9,False,False,START,35
R,7,9,0,9,False,False,R,36
B,7,9,0,9,False,False,B,37
START,7,9,0,9,False,False,START,38
UP,7,9,0,9,False,False,UP,39
SELECT,7,9,0,9,False,False,SELECT,40
A,7,9,0,9,False,False,A,41
SELECT,7,9,0,9,False,False,SELECT,42
DOWN,7,9,0,9,False,False,DOWN,43
L,7,9,0,9,False,False,L,44
L,7,9,0,9,False,False,L,45
A,7,9,0,9,False,False,A,46
SELECT,7,9,0,9,False,False,SELECT,47
DOWN,7,9,0,9,False,False,DOWN,48
RIGHT,7,9,0,9,False,False,RIGHT,49
RIGHT,7,9,0,9,False,False,RIGHT,50
L,7,9,0,9,False,False,L,51
A,7,9,0,9,False,False,A,52
L,7,9,0,9,False,False,L,53
R,7,9,0,9,False,False,R,54
RIGHT,7,9,0,9,False,False,RIGHT,55
START,7,9,0,9,False,False,START,56
R,7,9,0,9,False,False,R,57
LEFT,7,9,0,9,False,False,LEFT,58
UP,7,9,0,9,False,False,UP,59
L,7,9,0,9,False,False,L,60
A,7,9,0,9,False,False,A,61
LEFT,7,9,0,9,False,False,LEFT,62
B,7,9,0,9,False,False,B,63
B,7,9,0,9,False,False,B,64
L,7,9,0,9,False,False,L,65
R,7,9,0,9,False,False,R,66
DOWN,7,9,0,9,False,False,DOWN,67
SELECT,7,9,0,9,False,False,SELECT,68
DOWN,7,9,0,9,False,False,DOWN,69
A,7,9,0,9,False,False,A,70
L,7,9,0,9,False,False,L,71
A,7,9,0,9,False,False,A,72
SELECT,7,9,0,9,False,False,SELECT,73
UP,7,9,0,9,False,False,UP,74
SELECT,7,9,0,9,False,False,SELECT,75
R,7,9,0,9,False,False,R,76
A,7,9,0,9,False,False,A,77
START,7,9,0,9,False,False,START,78
R,7,9,0,9,False,False,R,79
DOWN,7,9,0,9,False,False,DOWN,80
UP,7,9,0,9,False,False,UP,81
R,7,9,0,9,False,False,R,82
UP,7,9,0,9,False,False,UP,83
START,7,9,0,9,False,False,START,84
R,7,9,0,9,False,False,R,85
START,7,9,0,9,False,False,START,86
START,7,9,0,9,False,False,START,87
UP,7,9,0,9,False,False,UP,88
R,7,9,0,9,False,False,R,89
R,7,9,0,9,False,False,R,90
DOWN,7,10,0,9,False,False,DOWN,91
SELECT,7,10,0,9,False,False,SELECT,92
LEFT,6,10,0,9,False,False,LEFT,93
R,6,10,0,9,False,False,R,94
R,6,10,0,9,False,False,R,95
B,6,10,0,9,False,False,B,96
START,6,10,0,9,False,False,START,97
SELECT,6,10,0,9,False,False,SELECT,98
LEFT,6,10,0,9,False,False,LEFT,99
A,6,10,0,9,False,False,A,100
A,6,10,0,9,False,False,A,101
START,6,10,0,9,False,False,START,102
SELECT,6,10,0,9,False,False,SELECT,103
A,6,10,0,9,False,False,A,104
SELECT,6,10,0,9,False,False,SELECT,105
UP,6,10,0,9,False,False,UP,106
B,6,10,0,9,False,False,B,107
R,6,10,0,9,False,False,R,108
A,6,10,0,9,False,False,A,109
B,6,10,0,9,False,False,B,110
START,6,10,0,9,False,False,START,111
L,6,10,0,9,False,False,L,112
R,6,10,0,9,False,False,R,113
DOWN,6,11,0,9,False,False,DOWN,114
L,6,11,0,9,False,False,L,115
DOWN,6,12,0,9,False,False,DOWN,116
RIGHT,7,12,0,9,False,False,RIGHT,117
L,7,12,0,9,False,False,L,118
RIGHT,8,12,0,9,False,False,RIGHT,119
B,8,12,0,9,False,False,B,120
DOWN,8,12,0,9,False,False,DOWN,121
L,8,12,0,9,False,False,L,122
START,8,12,0,9,False,False,START,123
SELECT,8,12,0,9,False,False,SELECT,124
SELECT,8,12,0,9,False,False,SELECT,125
LEFT,8,12,0,9,False,False,LEFT,126
START,8,12,0,9,False,False,START,127
DOWN,8,12,0,9,False,False,DOWN,128
A,8,12,0,9,False,False,A,129
DOWN,8,12,0,9,False,False,DOWN,130
B,8,12,0,9,False,False,B,131
B,8,12,0,9,False,False,B,132
L,8,12,0,9,False,False,L,133
L,8,12,0,9,False,False,L,134
