inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
START,10,9,0,9,False,False,START,1
RIGHT,10,9,0,9,False,False,RIGHT,2
DOWN,10,9,0,9,False,False,DOWN,3
B,10,9,0,9,False,False,B,4
B,10,9,0,9,False,False,B,5
B,10,9,0,9,False,False,B,6
RIGHT,11,9,0,9,False,False,RIGHT,7
START,11,9,0,9,False,False,START,8
SELECT,11,9,0,9,False,False,SELECT,9
RIGHT,11,9,0,9,False,False,RIGHT,10
UP,11,9,0,9,False,False,UP,11
START,11,9,0,9,False,False,START,12
RIGHT,11,9,0,9,False,False,RIGHT,13
B,11,9,0,9,False,False,B,14
B,11,9,0,9,False,False,B,15
DOWN,11,10,0,9,False,False,DOWN,16
R,11,10,0,9,False,False,R,17
START,11,10,0,9,False,False,START,18
B,11,10,0,9,False,False,B,19
RIGHT,12,10,0,9,False,False,RIGHT,20
R,12,10,0,9,False,False,R,21
DOWN,12,11,0,9,False,False,DOWN,22
R,12,11,0,9,False,False,R,23
SELECT,12,11,0,9,False,False,SELECT,24
R,12,11,0,9,False,False,R,25
LEFT,12,11,0,9,False,False,LEFT,26
RIGHT,12,11,0,9,False,False,RIGHT,27
UP,12,11,0,9,False,False,UP,28
L,12,11,0,9,False,False,L,29
SELECT,12,11,0,9,False,False,SELECT,30
LEFT,12,11,0,9,False,False,LEFT,31
DOWN,12,11,0,9,False,False,DOWN,32
DOWN,12,11,0,9,False,False,DOWN,33
L,12,11,0,9,False,False,L,34
START,12,11,0,9,False,False,START,35
LEFT,12,11,0,9,False,False,LEFT,36
A,12,11,0,9,False,False,A,37
R,12,11,0,9,False,False,R,38
B,12,11,0,9,False,False,B,39
SELECT,12,11,0,9,False,False,SELECT,40
L,12,11,0,9,False,False,L,41
L,12,11,0,9,False,False,L,42
UP,12,11,0,9,False,False,UP,43
RIGHT,12,11,0,9,False,False,RIGHT,44
UP,12,11,0,9,False,False,UP,45
DOWN,12,11,0,9,False,False,DOWN,46
START,12,11,0,9,False,False,START,47
L,12,11,0,9,False,False,L,48
B,12,11,0,9,False,False,B,49
START,12,11,0,9,False,False,START,50
R,12,11,0,9,False,False,R,51
L,12,11,0,9,False,False,L,52
START,12,11,0,9,False,False,START,53
L,12,11,0,9,False,False,L,54
R,12,11,0,9,False,False,R,55
LEFT,11,11,0,9,False,False,LEFT,56
START,11,11,0,9,False,False,START,57
START,11,11,0,9,False,False,START,58
B,11,11,0,9,False,False,B,59
L,11,11,0,9,False,False,L,60
A,11,11,0,9,False,False,A,61
RIGHT,12,11,0,9,False,False,RIGHT,62
LEFT,11,11,0,9,False,False,LEFT,63
RIGHT,12,11,0,9,False,False,RIGHT,64
A,12,11,0,9,False,False,A,65
DOWN,12,12,0,9,False,False,DOWN,66
LEFT,11,12,0,9,False,False,LEFT,67
RIGHT,12,12,0,9,False,False,RIGHT,68
RIGHT,13,12,0,9,False,False,RIGHT,69
DOWN,13,13,0,9,False,False,DOWN,70
B,13,13,0,9,False,False,B,71
DOWN,13,13,0,9,False,False,DOWN,72
DOWN,13,13,0,9,False,False,DOWN,73
RIGHT,14,13,0,9,False,False,RIGHT,74
L,14,13,0,9,False,False,L,75
B,14,13,0,9,False,False,B,76
DOWN,14,14,0,9,False,False,DOWN,77
R,14,14,0,9,False,False,R,78
RIGHT,15,14,0,9,False,False,RIGHT,79
DOWN,15,15,0,9,False,False,DOWN,80
B,15,15,0,9,False,False,B,81
DOWN,15,16,0,9,False,False,DOWN,82
RIGHT,16,16,0,9,False,False,RIGHT,83
START,16,16,0,9,False,False,START,84
RIGHT,17,16,0,9,False,False,RIGHT,85
DOWN,17,17,0,9,False,False,DOWN,86
UP,17,16,0,9,False,False,UP,87
RIGHT,17,16,0,9,False,False,RIGHT,88
B,17,16,0,9,False,False,B,89
R,17,16,0,9,False,False,R,90
RIGHT,17,16,0,9,False,False,RIGHT,91
B,17,16,0,9,False,False,B,92
LEFT,16,16,0,9,False,False,LEFT,93
SELECT,16,16,0,9,False,False,SELECT,94
RIGHT,17,16,0,9,False,False,RIGHT,95
START,17,16,0,9,False,False,START,96
LEFT,16,16,0,9,False,False,LEFT,97
B,16,16,0,9,False,False,B,98
DOWN,16,17,0,9,False,False,DOWN,99
SELECT,16,17,0,9,False,False,SELECT,100
START,16,17,0,9,False,False,START,101
L,16,17,0,9,False,False,L,102
R,16,17,0,9,False,False,R,103
R,16,17,0,9,False,False,R,104
DOWN,16,17,0,9,False,False,DOWN,105
L,16,17,0,9,False,False,L,106
START,16,17,0,9,False,False,START,107
UP,16,16,0,9,False,False,UP,108
RIGHT,17,16,0,9,False,False,RIGHT,109
A,17,16,0,9,False,False,A,110
LEFT,16,16,0,9,False,False,LEFT,111
B,16,16,0,9,False,False,B,112
B,16,16,0,9,False,False,B,113
SELECT,16,16,0,9,False,False,SELECT,114
