inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
UP,9,9,0,9,False,False,UP,1,0.9
B,9,9,0,9,False,False,B,2,0.8
A,9,9,0,9,False,False,A,3,0.7000000000000001
DOWN,9,10,0,9,False,False,DOWN,4,1.6
DOWN,9,11,0,9,False,False,DOWN,5,2.5
DOWN,9,12,0,9,False,False,DOWN,6,3.4
LEFT,8,12,0,9,False,False,LEFT,7,4.300000000000001
A,8,12,0,9,False,False,A,8,4.200000000000001
UP,8,11,0,9,False,False,UP,9,5.100000000000001
LEFT,7,11,0,9,False,False,LEFT,10,6.000000000000002
RIGHT,8,11,0,9,False,False,RIGHT,11,5.900000000000002
RIGHT,9,11,0,9,False,False,RIGHT,12,5.8000000000000025
B,9,11,0,9,False,False,B,13,5.700000000000003
LEFT,8,11,0,9,False,False,LEFT,14,5.600000000000003
RIGHT,9,11,0,9,False,False,RIGHT,15,5.5000000000000036
LEFT,8,11,0,9,False,False,LEFT,16,5.400000000000004
B,8,11,0,9,False,False,B,17,5.300000000000004
LEFT,7,11,0,9,False,False,LEFT,18,5.200000000000005
B,7,11,0,9,False,False,B,19,5.100000000000005
RIGHT,8,11,0,9,False,False,RIGHT,20,5.000000000000005
UP,8,10,0,9,False,False,UP,21,5.900000000000006
B,8,10,0,9,False,False,B,22,5.800000000000006
LEFT,7,10,0,9,False,False,LEFT,23,6.700000000000006
DOWN,7,11,0,9,False,False,DOWN,24,6.600000000000007
B,7,11,0,9,False,False,B,25,6.500000000000007
A,7,11,0,9,False,False,A,26,6.4000000000000075
A,7,11,0,9,False,False,A,27,6.300000000000008
UP,7,10,0,9,False,False,UP,28,6.200000000000008
LEFT,6,10,0,9,False,False,LEFT,29,7.1000000000000085
RIGHT,7,10,0,9,False,False,RIGHT,30,7.000000000000009
A,7,10,0,9,False,False,A,31,6.900000000000009
B,7,10,0,9,False,False,B,32,6.80000000000001
B,7,10,0,9,False,False,B,33,6.70000000000001
DOWN,7,11,0,9,False,False,DOWN,34,6.60000000000001
B,7,11,0,9,False,False,B,35,6.500000000000011
DOWN,7,12,0,9,False,False,DOWN,36,7.400000000000011
UP,7,11,0,9,False,False,UP,37,7.300000000000011
LEFT,6,11,0,9,False,False,LEFT,38,8.200000000000012
LEFT,5,11,0,9,False,False,LEFT,39,9.100000000000012
DOWN,5,12,0,9,False,False,DOWN,40,10.000000000000012
RIGHT,6,12,0,9,False,False,RIGHT,41,10.900000000000013
UP,6,11,0,9,False,False,UP,42,10.800000000000013
DOWN,6,12,0,9,False,False,DOWN,43,10.700000000000014
DOWN,6,12,0,9,False,False,DOWN,44,10.600000000000014
B,6,12,0,9,False,False,B,45,10.500000000000014
RIGHT,7,12,0,9,False,False,RIGHT,46,10.400000000000015
LEFT,6,12,0,9,False,False,LEFT,47,10.300000000000015
A,6,12,0,9,False,False,A,48,10.200000000000015
RIGHT,7,12,0,9,False,False,RIGHT,49,10.100000000000016
B,7,12,0,9,False,False,B,50,10.000000000000016
RIGHT,8,12,0,9,False,False,RIGHT,51,9.900000000000016
B,8,12,0,9,False,False,B,52,9.800000000000017
DOWN,8,12,0,9,False,False,DOWN,53,9.700000000000017
B,8,12,0,9,False,False,B,54,9.600000000000017
DOWN,8,12,0,9,False,False,DOWN,55,9.500000000000018
DOWN,8,12,0,9,False,False,DOWN,56,9.400000000000018
UP,8,11,0,9,False,False,UP,57,9.300000000000018
DOWN,8,12,0,9,False,False,DOWN,58,9.200000000000019
DOWN,8,12,0,9,False,False,DOWN,59,9.10000000000002
RIGHT,9,12,0,9,False,False,RIGHT,60,9.00000000000002
UP,9,11,0,9,False,False,UP,61,8.90000000000002
RIGHT,10,11,0,9,False,False,RIGHT,62,9.80000000000002
DOWN,10,12,0,9,False,False,DOWN,63,10.70000000000002
LEFT,9,12,0,9,False,False,LEFT,64,10.600000000000021
DOWN,9,12,0,9,False,False,DOWN,65,10.500000000000021
B,9,12,0,9,False,False,B,66,10.400000000000022
DOWN,9,12,0,9,False,False,DOWN,67,10.300000000000022
LEFT,8,12,0,9,False,False,LEFT,68,10.200000000000022
DOWN,8,12,0,9,False,False,DOWN,69,10.100000000000023
UP,8,11,0,9,False,False,UP,70,10.000000000000023
UP,8,10,0,9,False,False,UP,71,9.900000000000023
UP,8,9,0,9,False,False,UP,72,10.800000000000024
UP,8,8,0,9,False,False,UP,73,11.700000000000024
UP,8,7,0,9,False,False,UP,74,12.600000000000025
UP,8,6,0,9,False,False,UP,75,13.500000000000025
UP,8,5,0,9,False,False,UP,76,14.400000000000025
DOWN,8,6,0,9,False,False,DOWN,77,14.300000000000026
LEFT,7,6,0,9,False,False,LEFT,78,15.200000000000026
RIGHT,8,6,0,9,False,False,RIGHT,79,15.100000000000026
B,8,6,0,9,False,False,B,80,15.000000000000027
RIGHT,9,6,0,9,False,False,RIGHT,81,15.900000000000029
LEFT,8,6,0,9,False,False,LEFT,82,15.80000000000003
B,8,6,0,9,False,False,B,83,15.70000000000003
A,8,6,0,9,False,False,A,84,15.60000000000003
DOWN,8,7,0,9,False,False,DOWN,85,15.50000000000003
B,8,7,0,9,False,False,B,86,15.40000000000003
DOWN,8,8,0,9,False,False,DOWN,87,15.300000000000031
LEFT,8,8,0,9,False,False,LEFT,88,15.200000000000031
A,8,8,0,9,False,False,A,89,15.100000000000032
RIGHT,8,8,0,9,False,False,RIGHT,90,15.000000000000032
DOWN,8,8,0,9,False,False,DOWN,91,14.900000000000032
UP,8,8,0,9,False,False,UP,92,14.800000000000033
RIGHT,8,8,0,9,False,False,RIGHT,93,14.700000000000033
DOWN,8,8,0,9,False,False,DOWN,94,14.600000000000033
