inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,facingDirection,reward
UP,9,9,0,9,False,False,UP,1,UP,0
LEFT,8,9,0,9,False,False,LEFT,2,LEFT,0.9
A,8,9,0,9,False,False,A,3,LEFT,1.7999999999999998
A,8,9,0,9,False,False,A,4,LEFT,1.6999999999999997
B,8,9,0,9,False,False,B,5,LEFT,1.5999999999999996
B,8,9,0,9,False,False,B,6,LEFT,1.4999999999999996
DOWN,8,10,0,9,False,False,DOWN,7,DOWN,1.3999999999999995
LEFT,7,10,0,9,False,False,LEFT,8,LEFT,2.2999999999999994
DOWN,7,11,0,9,False,False,DOWN,9,DOWN,3.1999999999999993
LEFT,6,11,0,9,False,False,LEFT,10,LEFT,4.1
DOWN,6,12,0,9,False,False,DOWN,11,DOWN,5.0
A,6,12,0,9,False,False,A,12,DOWN,5.9
DOWN,6,12,0,9,False,False,DOWN,13,DOWN,5.800000000000001
B,6,12,0,9,False,False,B,14,DOWN,5.700000000000001
A,6,12,0,9,False,False,A,15,DOWN,5.600000000000001
LEFT,5,12,0,9,False,False,LEFT,16,LEFT,5.500000000000002
DOWN,5,12,0,9,False,False,DOWN,17,DOWN,6.400000000000002
A,5,12,0,9,False,False,A,18,DOWN,6.3000000000000025
B,5,12,0,9,False,False,B,19,DOWN,6.200000000000003
UP,5,11,0,9,False,False,UP,20,UP,6.100000000000003
LEFT,4,11,0,9,False,False,LEFT,21,LEFT,7.0000000000000036
B,4,11,0,9,False,False,B,22,LEFT,7.900000000000004
A,4,11,0,9,False,False,A,23,LEFT,7.800000000000004
RIGHT,5,11,0,9,False,False,RIGHT,24,RIGHT,7.700000000000005
LEFT,4,11,0,9,False,False,LEFT,25,LEFT,7.600000000000005
DOWN,4,12,0,9,False,False,DOWN,26,DOWN,7.500000000000005
UP,4,11,0,9,False,False,UP,27,UP,8.400000000000006
LEFT,3,11,0,9,False,False,LEFT,28,LEFT,8.300000000000006
B,3,11,0,9,False,False,B,29,LEFT,9.200000000000006
B,3,11,0,9,False,False,B,30,LEFT,9.100000000000007
LEFT,2,11,0,9,False,False,LEFT,31,LEFT,9.000000000000007
DOWN,2,12,0,9,False,False,DOWN,32,DOWN,9.900000000000007
UP,2,11,0,9,False,False,UP,33,UP,10.800000000000008
LEFT,1,11,0,9,False,False,LEFT,34,LEFT,10.700000000000008
DOWN,1,12,0,9,False,False,DOWN,35,DOWN,11.600000000000009
RIGHT,2,12,0,9,False,False,RIGHT,36,RIGHT,12.500000000000009
A,2,12,0,9,False,False,A,37,RIGHT,12.40000000000001
LEFT,1,12,0,9,False,False,LEFT,38,LEFT,12.30000000000001
DOWN,1,13,0,9,False,False,DOWN,39,DOWN,12.20000000000001
LEFT,0,13,0,9,False,False,LEFT,40,LEFT,13.10000000000001
A,0,13,0,9,False,False,A,41,LEFT,14.00000000000001
RIGHT,1,13,0,9,False,False,RIGHT,42,RIGHT,13.900000000000011
LEFT,0,13,0,9,False,False,LEFT,43,LEFT,13.800000000000011
B,0,13,0,9,False,False,B,44,LEFT,13.700000000000012
LEFT,0,13,0,9,False,False,LEFT,45,LEFT,13.600000000000012
UP,0,12,0,9,False,False,UP,46,UP,13.500000000000012
UP,0,11,0,9,False,False,UP,47,UP,14.400000000000013
B,0,11,0,9,False,False,B,48,UP,15.300000000000013
DOWN,0,12,0,9,False,False,DOWN,49,DOWN,15.200000000000014
DOWN,0,13,0,9,False,False,DOWN,50,DOWN,15.100000000000014
A,0,13,0,9,False,False,A,51,DOWN,15.000000000000014
DOWN,0,14,0,9,False,False,DOWN,52,DOWN,14.900000000000015
DOWN,0,15,0,9,False,False,DOWN,53,DOWN,15.800000000000015
A,0,15,0,9,False,False,A,54,DOWN,16.700000000000014
B,0,15,0,9,False,False,B,55,DOWN,16.600000000000012
UP,0,14,0,9,False,False,UP,56,UP,16.50000000000001
B,0,14,0,9,False,False,B,57,UP,16.40000000000001
LEFT,0,14,0,9,False,False,LEFT,58,LEFT,16.300000000000008
DOWN,0,15,0,9,False,False,DOWN,59,DOWN,16.200000000000006
A,0,15,0,9,False,False,A,60,DOWN,16.100000000000005
RIGHT,1,15,0,9,False,False,RIGHT,61,RIGHT,16.000000000000004
LEFT,0,15,0,9,False,False,LEFT,62,LEFT,16.900000000000002
LEFT,0,15,0,9,False,False,LEFT,63,LEFT,16.8
B,0,15,0,9,False,False,B,64,LEFT,16.7
UP,0,14,0,9,False,False,UP,65,UP,16.599999999999998
DOWN,0,15,0,9,False,False,DOWN,66,DOWN,16.499999999999996
DOWN,0,16,0,9,False,False,DOWN,67,DOWN,16.399999999999995
UP,0,15,0,9,False,False,UP,68,UP,17.299999999999994
UP,0,14,0,9,False,False,UP,69,UP,17.199999999999992
B,0,14,0,9,False,False,B,70,UP,17.09999999999999
RIGHT,1,14,0,9,False,False,RIGHT,71,RIGHT,16.99999999999999
DOWN,1,15,0,9,False,False,DOWN,72,DOWN,17.899999999999988
B,1,15,0,9,False,False,B,73,DOWN,17.799999999999986
RIGHT,2,15,0,9,False,False,RIGHT,74,RIGHT,17.699999999999985
DOWN,2,16,0,9,False,False,DOWN,75,DOWN,18.599999999999984
B,2,16,0,9,False,False,B,76,DOWN,19.499999999999982
RIGHT,2,16,0,9,False,False,RIGHT,77,RIGHT,19.39999999999998
DOWN,2,17,0,9,False,False,DOWN,78,DOWN,19.29999999999998
UP,2,16,0,9,False,False,UP,79,UP,20.199999999999978
DOWN,2,17,0,9,False,False,DOWN,80,DOWN,20.099999999999977
LEFT,1,17,0,9,False,False,LEFT,81,LEFT,19.999999999999975
DOWN,1,17,0,9,False,False,DOWN,82,DOWN,20.899999999999974
DOWN,1,17,0,9,False,False,DOWN,83,DOWN,20.799999999999972
DOWN,1,17,0,9,False,False,DOWN,84,DOWN,20.69999999999997
LEFT,0,17,0,9,False,False,LEFT,85,LEFT,20.59999999999997
LEFT,0,17,0,9,False,False,LEFT,86,LEFT,21.499999999999968
RIGHT,1,17,0,9,False,False,RIGHT,87,RIGHT,21.399999999999967
B,1,17,0,9,False,False,B,88,RIGHT,21.299999999999965
RIGHT,2,17,0,9,False,False,RIGHT,89,RIGHT,21.199999999999964
RIGHT,3,17,0,9,False,False,RIGHT,90,RIGHT,21.099999999999962
RIGHT,4,17,0,9,False,False,RIGHT,91,RIGHT,21.99999999999996
A,4,17,0,9,False,False,A,92,RIGHT,22.89999999999996
UP,4,17,0,9,False,False,UP,93,UP,22.799999999999958
UP,4,17,0,9,False,False,UP,94,UP,22.699999999999957
A,4,17,0,9,False,False,A,95,UP,22.599999999999955
A,4,17,0,9,False,False,A,96,UP,22.499999999999954
DOWN,4,18,0,9,False,False,DOWN,97,DOWN,22.399999999999952
LEFT,3,18,0,9,False,False,LEFT,98,LEFT,23.29999999999995
A,3,18,0,9,False,False,A,99,LEFT,24.19999999999995
B,3,18,0,9,False,False,B,100,LEFT,24.099999999999948
DOWN,3,19,0,9,False,False,DOWN,101,DOWN,23.999999999999947
UP,3,18,0,9,False,False,UP,102,UP,24.899999999999945
RIGHT,4,18,0,9,False,False,RIGHT,103,RIGHT,24.799999999999944
A,4,18,0,9,False,False,A,104,RIGHT,24.699999999999942
A,4,18,0,9,False,False,A,105,RIGHT,24.59999999999994
UP,4,17,0,9,False,False,UP,106,UP,24.49999999999994
A,4,17,0,9,False,False,A,107,UP,24.399999999999938
A,4,17,0,9,False,False,A,108,UP,24.299999999999937
B,4,17,0,9,False,False,B,109,UP,24.199999999999935
UP,4,17,0,9,False,False,UP,110,UP,24.099999999999934
B,4,17,0,9,False,False,B,111,UP,23.999999999999932
B,4,17,0,9,False,False,B,112,UP,23.89999999999993
LEFT,3,17,0,9,False,False,LEFT,113,LEFT,23.79999999999993
A,3,17,0,9,False,False,A,114,LEFT,23.69999999999993
B,3,17,0,9,False,False,B,115,LEFT,23.599999999999927
B,3,17,0,9,False,False,B,116,LEFT,23.499999999999925
UP,3,17,0,9,False,False,UP,117,UP,23.399999999999924
UP,3,17,0,9,False,False,UP,118,UP,23.299999999999923
A,3,17,0,9,False,False,A,119,UP,23.19999999999992
UP,3,17,0,9,False,False,UP,120,UP,23.09999999999992
RIGHT,4,17,0,9,False,False,RIGHT,121,RIGHT,22.99999999999992
RIGHT,5,17,0,9,False,False,RIGHT,122,RIGHT,22.899999999999917
RIGHT,5,17,0,9,False,False,RIGHT,123,RIGHT,23.799999999999915
LEFT,4,17,0,9,False,False,LEFT,124,LEFT,23.699999999999914
UP,4,17,0,9,False,False,UP,125,UP,23.599999999999913
DOWN,4,18,0,9,False,False,DOWN,126,DOWN,23.49999999999991
B,4,18,0,9,False,False,B,127,DOWN,23.39999999999991
UP,4,17,0,9,False,False,UP,128,UP,23.29999999999991
