inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
B,9,10,0,9,False,False,B,1,0.9
UP,9,9,0,9,False,False,UP,2,1.7999999999999998
RIGHT,10,9,0,9,False,False,RIGHT,3,2.6999999999999997
LEFT,9,9,0,9,False,False,LEFT,4,2.5999999999999996
A,9,9,0,9,False,False,A,5,2.4999999999999996
LEFT,8,9,0,9,False,False,LEFT,6,3.3999999999999995
LEFT,7,9,0,9,False,False,LEFT,7,4.3
UP,7,9,0,9,False,False,UP,8,4.2
UP,7,9,0,9,False,False,UP,9,4.1000000000000005
UP,7,9,0,9,False,False,UP,10,4.000000000000001
UP,7,9,0,9,False,False,UP,11,3.900000000000001
RIGHT,8,9,0,9,False,False,RIGHT,12,3.8000000000000007
DOWN,8,10,0,9,False,False,DOWN,13,4.700000000000001
LEFT,7,10,0,9,False,False,LEFT,14,5.600000000000001
RIGHT,8,10,0,9,False,False,RIGHT,15,5.500000000000002
B,8,10,0,9,False,False,B,16,5.400000000000002
RIGHT,9,10,0,9,False,False,RIGHT,17,5.3000000000000025
LEFT,8,10,0,9,False,False,LEFT,18,5.200000000000003
UP,8,9,0,9,False,False,UP,19,5.100000000000003
B,8,9,0,9,False,False,B,20,5.0000000000000036
A,8,9,0,9,False,False,A,21,4.900000000000004
LEFT,7,9,0,9,False,False,LEFT,22,4.800000000000004
DOWN,7,10,0,9,False,False,DOWN,23,4.700000000000005
LEFT,6,10,0,9,False,False,LEFT,24,5.600000000000005
B,6,10,0,9,False,False,B,25,5.500000000000005
LEFT,5,10,0,9,False,False,LEFT,26,6.400000000000006
RIGHT,6,10,0,9,False,False,RIGHT,27,6.300000000000006
LEFT,5,10,0,9,False,False,LEFT,28,6.200000000000006
B,5,10,0,9,False,False,B,29,6.100000000000007
B,5,10,0,9,False,False,B,30,6.000000000000007
DOWN,5,11,0,9,False,False,DOWN,31,6.9000000000000075
A,5,11,0,9,False,False,A,32,6.800000000000008
