inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,facingDirection,reward
PRINT_POSITION,9,10,0,9,False,False,NIL,0,DOWN,0
UP,9,9,0,9,False,False,UP,1,UP,0
PRINT_POSITION,9,9,0,9,False,False,NIL,1,UP,1
UP,9,8,0,9,False,False,UP,2,UP,1
PRINT_POSITION,9,8,0,9,False,False,NIL,2,UP,2
UP,9,7,0,9,False,False,UP,3,UP,2
PRINT_POSITION,9,7,0,9,False,False,NIL,3,UP,3
DOWN,9,8,0,9,False,False,DOWN,4,DOWN,3
PRINT_POSITION,9,8,0,9,False,False,NIL,4,DOWN,3
DOWN,9,9,0,9,False,False,DOWN,5,DOWN,3
PRINT_POSITION,9,9,0,9,False,False,NIL,5,DOWN,3
RIGHT,10,9,0,9,False,False,RIGHT,6,RIGHT,3
PRINT_POSITION,10,9,0,9,False,False,NIL,6,RIGHT,4
A,10,9,0,9,False,False,A,7,RIGHT,4
PRINT_POSITION,10,9,0,9,False,False,NIL,7,RIGHT,4
UP,10,8,0,9,False,False,UP,8,UP,4
PRINT_POSITION,10,8,0,9,False,False,NIL,8,UP,5
LEFT,9,8,0,9,False,False,LEFT,9,LEFT,5
PRINT_POSITION,9,8,0,9,False,False,NIL,9,LEFT,5
UP,9,7,0,9,False,False,UP,10,UP,5
PRINT_POSITION,9,7,0,9,False,False,NIL,10,UP,5
DOWN,9,8,0,9,False,False,DOWN,11,DOWN,5
PRINT_POSITION,9,8,0,9,False,False,NIL,11,DOWN,5
LEFT,8,8,0,9,False,False,LEFT,12,LEFT,5
PRINT_POSITION,8,8,0,9,False,False,NIL,12,LEFT,6
UP,8,7,0,9,False,False,UP,13,UP,6
PRINT_POSITION,8,7,0,9,False,False,NIL,13,UP,7
A,8,7,0,9,False,False,A,14,UP,7
PRINT_POSITION,8,7,0,9,False,False,NIL,14,UP,7
A,8,7,0,9,False,False,A,15,UP,7
PRINT_POSITION,8,7,0,9,False,False,NIL,15,UP,7
A,8,7,0,9,False,False,A,16,UP,7
PRINT_POSITION,8,7,0,9,False,False,NIL,16,UP,7
A,8,7,0,9,False,False,A,17,UP,7
PRINT_POSITION,8,7,0,9,False,False,NIL,17,UP,7
A,8,7,0,9,False,False,A,18,UP,7
PRINT_POSITION,8,7,0,9,False,False,NIL,18,UP,7
A,8,7,0,9,False,False,A,19,UP,7
PRINT_POSITION,8,7,0,9,False,False,NIL,19,UP,7
RIGHT,9,7,0,9,False,False,RIGHT,20,RIGHT,7
PRINT_POSITION,9,7,0,9,False,False,NIL,20,RIGHT,7
B,9,7,0,9,False,False,B,21,RIGHT,7
PRINT_POSITION,9,7,0,9,False,False,NIL,21,RIGHT,7
B,9,7,0,9,False,False,B,22,RIGHT,7
PRINT_POSITION,9,7,0,9,False,False,NIL,22,RIGHT,7
RIGHT,10,7,0,9,False,False,RIGHT,23,RIGHT,7
PRINT_POSITION,10,7,0,9,False,False,NIL,23,RIGHT,8
UP,10,6,0,9,False,False,UP,24,UP,8
PRINT_POSITION,10,6,0,9,False,False,NIL,24,UP,9
DOWN,10,7,0,9,False,False,DOWN,25,DOWN,9
PRINT_POSITION,10,7,0,9,False,False,NIL,25,DOWN,9
LEFT,9,7,0,9,False,False,LEFT,26,LEFT,9
PRINT_POSITION,9,7,0,9,False,False,NIL,26,LEFT,9
