pos_x,pos_y,map_bank,map_num,in_battle,direction,action,q_value
9,10,0,9,0,1,0,0.198
9,10,0,9,0,1,1,0.0
9,10,0,9,0,1,2,0.0
9,10,0,9,0,1,3,0.0
9,10,0,9,0,1,4,0.099
9,10,0,9,0,1,5,0.0
9,9,0,9,0,0,0,0.0
9,9,0,9,0,0,1,0.0
9,9,0,9,0,0,2,0.0
9,9,0,9,0,0,3,0.296
9,9,0,9,0,0,4,0.197
9,9,0,9,0,0,5,0.0
10,9,0,9,0,3,0,0.0
10,9,0,9,0,3,1,0.0
10,9,0,9,0,3,2,0.0
10,9,0,9,0,3,3,0.395
10,9,0,9,0,3,4,0.0
10,9,0,9,0,3,5,0.0
11,9,0,9,0,3,0,0.0
11,9,0,9,0,3,1,0.0
11,9,0,9,0,3,2,0.3940000000000001
11,9,0,9,0,3,3,0.0
11,9,0,9,0,3,4,0.0
11,9,0,9,0,3,5,0.0
10,9,0,9,0,2,0,0.0
10,9,0,9,0,2,1,0.4930000000000001
10,9,0,9,0,2,2,0.0
10,9,0,9,0,2,3,0.0
10,9,0,9,0,2,4,0.0
10,9,0,9,0,2,5,0.0
10,10,0,9,0,1,0,0.0
10,10,0,9,0,1,1,0.0
10,10,0,9,0,1,2,0.9784090000000003
10,10,0,9,0,1,3,0.0
10,10,0,9,0,1,4,0.0
10,10,0,9,0,1,5,0.0
9,10,0,9,0,2,0,0.0
9,10,0,9,0,2,1,0.0
9,10,0,9,0,2,2,0.0
9,10,0,9,0,2,3,0.9754110000000005
9,10,0,9,0,2,4,0.4910000000000001
9,10,0,9,0,2,5,0.0
10,10,0,9,0,3,0,0.9782340920000003
10,10,0,9,0,3,1,0.0
10,10,0,9,0,3,2,0.0
10,10,0,9,0,3,3,0.0
10,10,0,9,0,3,4,0.0
10,10,0,9,0,3,5,0.0
10,9,0,9,0,0,0,0.0
10,9,0,9,0,0,1,0.5367080000000002
10,9,0,9,0,0,2,0.48400000000000026
10,9,0,9,0,0,3,0.0
