pos_x,pos_y,map_bank,map_num,in_battle,action,q_value
9,10,0,9,0,0,0.0
9,10,0,9,0,1,0.0
9,10,0,9,0,2,0.095
9,10,0,9,0,3,0.0
9,10,0,9,0,4,0.0
9,10,0,9,0,5,0.0
8,10,0,9,0,0,0.0
8,10,0,9,0,1,0.185
8,10,0,9,0,2,0.0
8,10,0,9,0,3,0.0
8,10,0,9,0,4,0.0
8,10,0,9,0,5,0.09
8,11,0,9,0,0,0.0
8,11,0,9,0,1,0.27999999999999997
8,11,0,9,0,2,0.0
8,11,0,9,0,3,0.0
8,11,0,9,0,4,0.0
8,11,0,9,0,5,0.0
8,12,0,9,0,0,0.0
8,12,0,9,0,1,0.31563084972500005
8,12,0,9,0,2,0.3350000000000002
8,12,0,9,0,3,0.0
8,12,0,9,0,4,1.0668153406441476
8,12,0,9,0,5,0.811365847225
7,12,0,9,0,0,0.0
7,12,0,9,0,1,0.0
7,12,0,9,0,2,0.43000000000000016
7,12,0,9,0,3,0.0
7,12,0,9,0,4,0.0
7,12,0,9,0,5,0.0
6,12,0,9,0,0,0.5200000000000002
6,12,0,9,0,1,0.4250000000000002
6,12,0,9,0,2,0.0
6,12,0,9,0,3,0.0
6,12,0,9,0,4,0.0
6,12,0,9,0,5,0.0
6,11,0,9,0,0,0.6150000000000002
6,11,0,9,0,1,0.0
6,11,0,9,0,2,0.0
6,11,0,9,0,3,0.0
6,11,0,9,0,4,0.0
6,11,0,9,0,5,0.0
6,10,0,9,0,0,0.0
6,10,0,9,0,1,0.0
6,10,0,9,0,2,0.8000000000000003
6,10,0,9,0,3,0.7100000000000003
6,10,0,9,0,4,0.0
6,10,0,9,0,5,0.0
7,10,0,9,0,0,0.0
7,10,0,9,0,1,0.0
7,10,0,9,0,2,0.7752900000000004
7,10,0,9,0,3,0.0
7,10,0,9,0,4,0.0
7,10,0,9,0,5,0.0
5,10,0,9,0,0,5.155499942300004
5,10,0,9,0,1,0.0
5,10,0,9,0,2,0.8950000000000001
5,10,0,9,0,3,0.0
5,10,0,9,0,4,0.0
5,10,0,9,0,5,0.0
4,10,0,9,0,0,2.0627229899999997
4,10,0,9,0,1,1.075
4,10,0,9,0,2,0.0
4,10,0,9,0,3,0.0
4,10,0,9,0,4,0.0
4,10,0,9,0,5,0.0
4,9,0,9,0,0,0.0
4,9,0,9,0,1,1.07801
4,9,0,9,0,2,1.1599999999999997
4,9,0,9,0,3,5.537625805000021
4,9,0,9,0,4,0.985
4,9,0,9,0,5,0.0
4,11,0,9,0,0,1.1764249999999998
4,11,0,9,0,1,0.0
4,11,0,9,0,2,0.0
4,11,0,9,0,3,0.0
4,11,0,9,0,4,0.0
4,11,0,9,0,5,0.0
3,9,0,9,0,0,2.506372577189154
3,9,0,9,0,1,0.0
3,9,0,9,0,2,0.0
3,9,0,9,0,3,1.2348399999999993
3,9,0,9,0,4,4.574400192906271
3,9,0,9,0,5,1.2643449999999996
5,9,0,9,0,0,16.539690214797062
5,9,0,9,0,1,3.958605000000023
5,9,0,9,0,2,4.050285000000019
5,9,0,9,0,3,0.0
5,9,0,9,0,4,1.209999999999999
5,9,0,9,0,5,4.454125805000021
5,8,0,9,0,0,5.260946300000017
5,8,0,9,0,1,0.0
5,8,0,9,0,2,4.787782725025027
5,8,0,9,0,3,8.803549835024523
5,8,0,9,0,4,12.606364237107547
5,8,0,9,0,5,13.414895807747044
8,8,1,0,0,0,9.018689669376652
8,8,1,0,0,1,4.315269794015024
8,8,1,0,0,2,4.047015000000021
8,8,1,0,0,3,0.0
8,8,1,0,0,4,3.8800629070705543
8,8,1,0,0,5,4.295654485000024
8,7,1,0,0,0,10.470577750868172
8,7,1,0,0,1,3.885062907070554
8,7,1,0,0,2,1.9999999999999976
8,7,1,0,0,3,0.0
8,7,1,0,0,4,4.855566479999995
8,7,1,0,0,5,0.0
8,6,1,0,0,0,3.8786611941657387
8,6,1,0,0,1,3.9422086960086307
8,6,1,0,0,2,0.0
8,6,1,0,0,3,9.16324120750252
8,6,1,0,0,4,12.134944296164264
8,6,1,0,0,5,19.400445521611097
9,6,1,0,0,0,0.0
9,6,1,0,0,1,4.033037449520015
9,6,1,0,0,2,0.0
9,6,1,0,0,3,5.766372898150024
9,6,1,0,0,4,0.0
9,6,1,0,0,5,0.0
10,6,1,0,0,0,8.382006582399963
10,6,1,0,0,1,12.808663714345638
10,6,1,0,0,2,0.0
10,6,1,0,0,3,4.728057707720281
10,6,1,0,0,4,0.0
10,6,1,0,0,5,4.723057707720282
10,7,1,0,0,0,10.529417603613002
